"chapter","verse","sanskrit","transliteration","translation_danish","translation_english","footnotes_translation_danish","footnotes_transliteration","footnotes_sanskrit"
"2","7","बद्धपद्मासनो योगी प्राणं चन्द्रेण पूरयेत् ।
धारयित्वा यथाशक्ति भूयः सूर्येण रेचयेत् ॥७॥","baddhapadmāsano yogī prāṇaṃ candreṇa pūrayet |
dhārayitvā yathāśakti bhūyaḥ sūryeṇa recayet || 2.7 ||","[2.7] Yogien, som har indtaget en fastlåst Padmāsana, bør ånde ind
gennem månekanalen og holde prāṇa så længe kræfterne rækker; derpå bør
han ånde ud gennem solkanalen.[^58]","[2.7-8] Sitting in the Padmāsana posture the Yogī should fill in the air through the left nostril (closing the right one); and, keeping it confined according to one's ability, it should be expelled slowly through the sūrya (right nostril). Then, drawing in the air through the sūrya (right nostril) slowly, the belly should be filled, and after performing Kumbhaka as before, it should be expelled slowly through the chandra (left nostril).","[^58]: Månekanalen refererer til Īḍā-kanalen som er forankret i venstre næsebor. Solkanalen refererer til Pingalā-kanalen, som er forankret i højre næsebor.",NA,NA
"2","8","प्राणं सूर्येण चाकृष्य पूरयेदुदरं शनैः ।
विधिवत्कुम्भकं कृत्वा पुनश्चन्द्रेण रेचयेत् ॥८॥","prāṇaṃ sūryeṇa cākr̥ṣya pūrayed udaraṃ śanaiḥ |
vidhivat kumbhakaṃ kr̥tvā punaś candreṇa recayet || 2.8 ||","[2.8] Dernæst bør yogien fylde hulrummet i maven meget forsigtigt,
idet han indånder prāṇa gennem solkanalen. Efter at have holdt vejret på
yogisk vis[^59] i overensstemmelse med instruktionerne, bør yogien atter
tømme hulrummet ved hjælp af månekanalen.",NA,"[^59]: Dvs. ved hjælp af en kumbhaka.",NA,NA
"2","9","येन त्यजेत्तेन पीत्वा धारयेदतिरोधतः ।
रेचयेच्च ततोऽन्येन शनैरेव न वेगतः ॥९॥","yena tyajet tena pītvā dhārayed atirodhataḥ |
recayec ca tato 'nyena śanair eva na vegataḥ || 2.9 ||","[2.9] Efter at have trukket vejret ind gennem den ene kanal, som han
åndede ud igennem, skal den beherskede yogi fastholde prāṇaen. Derefter
skal han ånde ud gennem den anden kanal. Forsigtigt, ikke pludseligt.","[2.9] Inhaling thus through the one, through which it was expelled, and having restrained it there, till possible, it should be exhaled through the other, slowly and not forcibly.",NA,NA,NA
"2","10","प्राणं चेदिडया पिबेन्नियमितं भूयोऽन्यया रेचयेत्
पीत्वा पिङ्गलया समीरणमथो बद्ध्वा त्यजेद्वामया ।
सूर्याचन्द्रमसोरनेन विधिनाभ्यासं सदा तन्वतां
शुद्धा नाडिगणा भवन्ति यमिनां मासत्रयादूर्ध्वतः ॥१०॥","prāṇaṃ ced iḍayā piben niyamitaṃ bhūyo'nyayā recayet
pītvā piṅgalayā samīraṇam atho baddhvā tyajed vāmayā |
sūryacandramasor anena vidhinābhyāsaṃ sadā tanvatāṃ
śuddhā nāḍigaṇā bhavanti yamināṃ māsatrayād ūrdhvataḥ || 2.10 ||","[2.10] Når yogien ånder ind gennem Iḍā og fastholder prāṇa, skal han
ånde ud gennem den anden. Efter at have åndet ind gennem Piṅgalā, og
efter at have fastholdt åndedrættet der, skal han ånde ud gennem den
venstre kanal. De yogier, som kontinuerligt udfører sol- og månepraksis
på denne måde, vil have rensede nāḍīer efter tre måneder eller mere.","[2.10] If the air be inhaled through the left nostril, it should be expelled again through the other, and filling it through the right nostril, confining it there, it should be expelled through the left nostril. By practising in this way, through the right and the left nostrils alternately, the whole of the collection of the nādīs of the yamīs (practisers) becomes clean, i.e., free from impurities, after 3 months and over.",NA,NA,NA
"2","11","प्रातर्मध्यन्दिने सायमर्धरात्रे च कुम्भकान् ।
शनौरशीतिपर्यन्तं चतुर्वारं समभ्यसेत् ॥११॥","prātar madhyandine sāyam ardharātre ca kumbhakān |
śanair aśītiparyantaṃ catur vāraṃ samabhyaset || 2.11 ||","[2.11] Yogien bør praktisere gradvist op til 80 kumbhakaer på fire
tidspunkter: solopgang, middag, aften og midnat.","[2.11] Kumbhakas should be performed gradually 4 times during day and night, i.e., (morning, noon, evening and midnight), till the number of Kumbhakas for one time is 80 and for day and night together it is 320.",NA,NA,NA
"2","12","कनीयसि भवेत्स्वेदः कम्पो भवति मध्यमे ।
उत्तमे स्थानमाप्नोति ततो वायुं निबन्धयेत् ॥१२॥","kanīyasi bhavet svedaḥ kampo bhavati madhyame |
uttame sthānam āpnoti tato vāyuṃ nibandhayet || 2.12 ||","[2.12] Først vil der være sved. Midtvejs er der rysten. Til sidst
opnås stabilitet. Derfor bør man fastholde åndedrættet.","[2.12] In the beginning there is perspiration, in the middle stage there is quivering, and in the last or the 3rd stage one obtains steadiness; and then the breath should be made steady or motionless.",NA,NA,NA
"2","13","जलेन श्रमजातेन गात्रमर्दनमाचरेत् ।
दृढता लघुता चैव तेन गात्रस्य जायते ॥१३॥","jalena śramajātena gātramardanam ācaret |
dr̥ḍhatā laghutā caiva tena gātrasya jāyate || 2.13 ||","[2.13] Yogien bør indsmøre kroppen i udmattelsens sved. Derved opstår
kroppens stabilitet og lethed.","[2.13] The perspiration exuding from exertion of practice should be rubbed into the body (and not wiped), as by so doing the body becomes strong.",NA,NA,NA
"2","14","अभ्यासकाले प्रथमं शस्तं क्षीराज्यभोजनम् ।
ततोऽभ्यासे दृढीभूते न तादृङ्नियमग्रहः ॥१४॥","abhyāsakāle prathamaṃ śastaṃ kṣīrājyabhojanam |
tato'bhyāse dr̥ḍhībhūte na tādr̥ṅniyamagrahaḥ || 2.14 ||","[2.14] At nyde mælk og ghee[^60] er anbefalet i den første tid af
praksis. At følge denne anbefaling er ikke påkrævet, når praksis er
blevet stabil.","[2.14] During the first stage of practice the food consisting of milk and ghee is wholesome. When the practice becomes established, no such restriction is necessary.","[^60]: Ghee er en form for klarificeret smør, som er meget anvendt i indisk madlavning.",NA,NA
"2","15","यथा सिंहो गजो व्याघ्रो भवेद्वश्यः शनैः शनैः ।
तथैव सेवितो वायुरन्यथा हन्ति साधकम् ॥१५॥","yathā siṃho gajo vyāghro bhaved vaśyaḥ śanaiḥ śanaiḥ |
tathaiva sevito vāyur anyathā hanti sādhakam || 2.15 ||","[2.15] Ligesom en løve, elefant eller tiger skal tæmmes gradvist,
ligeså skal åndedrættet tæmmes gradvist - ellers slår det sādhakaen[^61]
ihjel.","[2.15] Just as lions, elephants and tigers are controlled by and by, so the breath is controlled by slow degrees, otherwise (i.e., by being hasty or using too much force) it kills the practiser himself.","[^61]: Sādhakaen er her et udtryk anvendt om yogien, der praktiserer under kyndig vejledning af sin guru.",NA,NA
"2","16","प्राणायामेन युक्तेन सर्वरोगक्षयो भवेत् ।
अयुक्ताभ्यासयोगेन सर्वरोगसमुद्भवः ॥१६॥","prāṇāyāmena yuktena sarvarogakṣayo bhavet |
ayuktābhyāsayogena sarvarogasamudbhavaḥ || 2.16 ||","[2.16] Ved korrekt udførelse af prāṇāyāma fordrives alle sygdomme.
Ukorrekt praksis af yoga forårsager alle sygdomme.","[2.16] When Prāṇayama, etc., are performed properly, they eradicate all diseases; but an improper practice generates diseases.",NA,NA,NA
"2","17","हिक्का श्वासश्च कासश्च शिरःकर्णाक्षिवेदनाः ।
भवन्ति विविधा रोगाः पवनस्य प्रकोपतः ॥१७॥","hikkā śvāsaś ca kāsaś ca śiraḥkarṇākṣivedanāḥ |
bhavanti vividhā rogāḥ pavanasya prakopataḥ || 2.17 ||","[2.17] Forstyrrelse i åndedrættet fører til diverse sygdomme, såsom
hikke, astma, hoste og smerte i hoved, øre og øje.","[2.17] Hiccough, asthma, cough, pain in the head, the ears, and the eyes; these and other various kinds of diseases are generated by the disturbance of the breath.",NA,NA,NA
"2","18","युक्तं युक्तं त्यजेद्वायुं युक्तं युक्तं च पूरयेत् ।
युक्तं युक्तं च बध्नीयादेवं सिद्धिमवाप्नुयात् ॥१८॥","yuktaṃ yuktaṃ tyajed vāyuṃ yuktaṃ yuktaṃ ca pūrayet |
yuktaṃ yuktaṃ ca badhnīyād evaṃ siddhim avāpnuyāt || 2.18 ||","[2.18] Yogien bør ånde ud med fuld kontrol, ånde ind med fuld kontrol
og fastholde åndedraget med fuld kontrol. Således vil han opnå succes.","[2.18] The air should be expelled with proper tact and should be filled in skilfully; and when it has been kept confined properly it brings success. [NOTE1]",NA,NA,NA
"2","19","यदा तु नाडीशुद्धिः स्यात्तदा चिह्नानि बाह्यतः ।
कायस्य कृशता कान्तिस्तथा जायेत निश्चितम् ॥१९॥","yadā tu nāḍīśuddhiḥ syāt tadā cihnāni bāhyataḥ |
kāyasya kr̥śatā kāntis tathā jāyeta niścitam || 2.19 ||","[2.19] Når nāḍīerne er rensede, vil der være ydre tegn. Kroppen vil
med sikkerhed blive slank og strålende.","[2.19] When the nādīs become free from impurities, and there appear the outward signs of success, such as lean body and glowing colour, then one should feel certain of success.",NA,NA,NA
"2","20","यथेष्टधारणं वायोरनलस्य प्रदीपनम् ।
नादाभिव्यक्तिरारोग्यं जायते नाडिशोधनात् ॥२०॥","yatheṣṭadhāraṇaṃ vāyor analasya pradīpanam |
nādābhivyaktir ārogyaṃ jāyate nāḍiśodhanāt || 2.20 ||","[2.20] Den ønskede fastholdelse af åndedraget, antændelsen af
fordøjelsens ild, manifestationen af indre lyd og fravær af sygdom --
alt dette opnås ved nāḍīernes renselse.","[2.20] By removing the impurities, the air can be restrained, according to one's wish and the appetite is increased, the divine sound is awakened, and the body becomes healthy.",NA,NA,NA
"2","21","मेदःश्लेष्माधिकः पूर्वं षट्कर्माणि समाचरेत् ।
अन्यस्तु नाचरेत्तानि दोषाणां समभावतः ॥२१॥","medaḥśleṣmādhikaḥ pūrvaṃ ṣaṭkarmāṇi samācaret |
anyas tu nācaret tāni doṣāṇāṃ samabhāvataḥ || 2.21 ||","[2.21] En, som har overskydende fedt og slim, bør først udføre de seks
karmaner.[^62] Dog behøver den, der har balance i doṣaerne[^63] ikke at
udføre dem.","[2.21] If there be excess of fat or phlegm in the body, the six kinds of kriyās (duties) should be performed first. But others, not suffering from the excess of these, should not perform them.","[^62]: Karmaner, 'yogiske handlinger' (jf. 2.22).
[^63]: Doṣaerne, 'de kropslige elementer'. De tre kropslige elementer er vind (vāta), slim (pitta) og galde (kapha). Doṣa-læren er sandsynligvis adopteret fra ayurveda, den traditionelle indiske medicin. De tre doṣaer korresponderer med de fem kosmiske elementer på følgende vis: kapha (galde) korresponderer med jord og vand, pitta (slim) korresponderer med ild, vāta (vind) korresponderer med luft og æter.",NA,NA
"2","22","धौतिर्ब​स्तिस्तथा नेतिस्त्राटकं नौलिकं तथा ।
कपालभातिश्चैतानि षट्कर्माणि प्रचक्षते ॥२२॥","dhautir bastis tathā netis trāṭakaṃ naulikaṃ tathā |
kapālabhātiś caitāni ṣaṭkarmāṇi pracakṣate || 2.22 ||","[2.22] De seks karmaner kaldes Dhauti, Basti, Neti, Trāṭaka, Nauli og
Kapālabhāti.[^64]","[2.22-23] These six kinds of actions which cleanse the body should be kept secret. They produce extraordinary attributes and are performed with earnestness by the best of Yogīs.","[^64]: De seks yogiske handlinger eller karmaner (også kendt som ṣaṭkarma(n) eller ṣaṭkriyā) er yogiske teknikker til at rense kroppen. Sanskrittermerne kan tilnærmelsesvist oversættes på følgende vis: Dhauti-karman 'Kildehandlingen', Basti-karman 'Bækkenhandlingen', Neti-karman 'Førehandlingen', Trāṭaka-karman 'Beskyttelseshandlingen', Nauli-karman 'Mavehandlingen' og Kapālabhāti-karman 'Kranierenselseshandlingen'.",NA,NA
"2","23","कर्मषट्कमिदं गोप्यं घटशोधनकारकम् ।
विचित्रगुणसन्धायि पूज्यते योगिपुङ्गवैः ॥२३॥","karmaṣaṭkam idaṃ gopyaṃ ghaṭaśodhanakārakam |
vicitraguṇasandhāyi pūjyate yogipuṅgavaiḥ || 2.23 ||","[2.23] Enheden af seks karmaner, som renser og forsyner kroppen med
mange egenskaber, bør hemmeligholdes. Denne enhed hyldes af de bedste
yogier.
Dette er Dhautikarman:",NA,NA,NA,NA
"2","24","तत्र धौतिः
चतुरङ्गुलविस्तारं हस्तपञ्चदशायतम् ।
गुरूपदिष्टमार्गेण सिक्तं वस्त्रं शनैर्ग्रसेत् ।
पुनः प्रत्याहरेच्चैतदुदितं धौतिकर्म तत् ॥२४॥","tatra dhautiḥ
caturaṅgulavistāraṃ hastapañcadaśāyatam |
gurūpadiṣṭamārgeṇa siktaṃ vastraṃ śanair graset |
punaḥ pratyāharec caitad uditaṃ dhautikarma tat || 2.24 ||","[2.24] Yogien bør forsigtigt sluge et vådt klæde, der er fire
tommelfingre bredt og femten hænder langt, som anvist af guruen.
Derefter trækkes klædet op igen. Dette kaldes Dhautikarman.[^65]","[2.24] A strip of cloth, about 3 inches wide and 15 cubits long, is pushed in (swallowed), when moist with warm water, through the passage shown by the guru, and is taken out again. This is called Dhauti Karma. [2]","[^65]: Dhauti-karman, 'Kildehandlingen'.",NA,NA
"2","25","कासश्वासप्लीहकुष्ठं कफरोगाश्च विंशतिः ।
धौतिकर्मप्रभावेण प्रयान्त्येव न संशयः ॥२५॥","kāsaśvāsaplīhakuṣṭhaṃ kapharogāś ca viṃśatiḥ |
dhautikarmaprabhāveṇa prayānty eva na saṃśayaḥ || 2.25 ||","[2.25] Hoste, astma, sygdom i milten, spedalskhed samt tyve
slimsygdomme forsvinder ved udførelsen af Dhautikarman. Derom hersker
ingen tvivl.
Dette er Gajakaraṇī:","[2.25] There is no doubt, that cough, asthma, enlargement of the spleen, leprosy, and 20 kinds of diseases born of phlegm, disappear by the practice of Dhauti Karma.",NA,NA,NA
"2","26","अथ गजकरणी
उदरगतपदार्थमुद्वमन्ति पवनमपानमुदीर्य कण्ठनाले ।
क्रमपरिचयवश्यनाडिचक्रा गजकरणीति निगद्यते हठज्ञैः ॥२६॥","atha gajakaraṇī
udaragatapadārtham udvamanti
pavanam apānam udīrya kaṇṭhanāle |
kramaparicayavaśyanāḍicakrā
gajakaraṇīti nigadyate haṭhajñaiḥ || 2.26 ||","[2.26] De, som har opøvet kontrol over nāḍīerne og cakraerne,[^66] er
i stand til at rejse apāna[^67] op gennem spiserøret og kaste mavens
indhold op. Dette kaldes Gajakaraṇī[^68] af de kyndige i haṭhayoga.
Dette er Bastikarman:
[2.26] Stående i Utkaṭāsana[^69] i vand til navlen, bør yogien
indsætte en hul stilk i anus og trække sammen. Denne renselse kaldes
Bastikarman.[^70]","[2.26] Squatting in navel-deep water, and introducing a six inches long, smooth piece of ½ an inch diameter pipe, open at both ends, half inside the anus; it (anus) should he drawn up (contracted) and then expelled. This washing is called the Basti Karma.","[^66]: Nāḍicakrā[ḥ] kan også oversættes med 'alle kanalerne' som alternativ til 'kanalerne og cakraerne'.
[^67]: Apāna oversættes almindeligvis med 'det nedadgående åndedræt'. Ifølge Alexis Sanderson (Oxford) er der dog tale om 'det opadgående åndedræt', idet der er tale om den luft, som åndes ud. Sidstnævnte oversættelse giver ligeledes bedre mening i dette vers.
[^68]: Gaja-karaṇī, 'Elefanthandlingen' idet man kaster op i en stråle, der har lighed med elefantens snabel.
[^69]: Utkaṭa-āsana, 'Den outrerede eller yderligtgående stilling'.
[^70]: Basti-karman, 'Bækkenhandlingen'. I originalteksten står der basti, idet v ofte udtales som b i Nordindien. Basti, 'bækken', er blevet standardreferencen, mens vasti er den korrekte stavemåde på sanskrit.",NA,NA
"2","27","अथ बस्तिः
नाभिदघ्नजले पायुन्यस्तनालोत्कटासनः ।
आधाराकुञ्चनं कुर्यात्क्षालनं ब​स्तिकर्म तत् ॥२७॥","atha bastiḥ
nābhidaghnajale pāyunyastanālotkaṭāsanaḥ |
ādhārākuñcanaṃ kuryāt kṣālanaṃ bastikarma tat || 2.27 ||",NA,NA,NA,NA,NA
"2","28","गुल्मप्लीहोदरं चापि वातपित्तकफोद्भवाः ।
ब​स्तिकर्मप्रभावेण क्षीयन्ते सकलामयाः ॥२८॥","gulmaplīhodaraṃ cāpi vātapittakaphodbhavāḥ |
bastikarmaprabhāveṇa kṣīyante sakalāmayāḥ || 2.28 ||","[2.28] Forstørrelse af milt, mave og lever skyldes vind, galde og
slim. Alle disse sygdomme fordrives af Bastikarmans kraft.","[2.28] By practising Basti with water, the Dhātās, the Indriyas and the mind become calm. It gives glow and tone to the body and increases the appetite. All the disorders disappear.",NA,NA,NA
"2","29","धात्विन्द्रियान्तःकरणप्रसादं दद्याच्च कान्तिं दहनप्रदीप्तम् ।
अशेषदोषोपचयं निहन्यादभ्यस्यमानं जलब​स्तिकर्म ॥२९॥","dhātvindriyāntaḥkaraṇaprasādaṃ dadyāc ca kāntiṃ dahanapradīptam |
aśeṣadoṣopacayaṃ nihanyād abhyasyamānaṃ jalabastikarma || 2.29 ||","[2.29] Ved regelmæssig praksis af Bastikarman i vand, får man et klart
sind, skarpe sanser og balance i doṣaerne, skønhed, god fordøjelse og
fravær af alle sygdomme.
Dette er Netikarman:","[2.29] A cord made of threads and about six inches long, should be passed through the passage of the nose and the end taken out in the mouth. This is called by adepts the Neti Karma.",NA,NA,NA
"2","30","अथ नेतिः
सूत्रं वितस्ति सुस्निग्धं नासानाले प्रवेशयेत् ।
मुखान्निर्गमयेच्चैषा नेतिः सिद्धैर्निगद्यते ॥३०॥","atha netiḥ
sūtraṃ vitasti susnigdhaṃ nāsānāle praveśayet |
mukhān nirgamayec caiṣā netiḥ siddhair nigadyate || 2.30 ||","[2.30] Man fører en blød tråd, som måler tolv tommelfingre, ind i
næsehulrummet og videre ud gennem munden. Denne karman kaldes Neti[^71]
af Siddhayogierne.[^72]","[2.30] The Neti is the cleaner of the brain and giver of divine sight. It soon destroys all the diseases of the cervical and scapular regions.","[^71]: Neti-karman, 'Førehandlingen'.
[^72]: Siddhaerne er fuldkomne yogier, ligesom ordet siddha også kan referere til en bestemt asketisk retning, der senere blev kendt som Nāth Yogīerne eller Nāth Siddhaerne (jf. 1.38).",NA,NA
"2","31","कपालशोधनी चैव दिव्यदृष्टिप्रदायिनी ।
जत्रूर्ध्वजातरोगौघं नेतिराशु निहन्ति च ॥३१॥","kapālaśodhanī caiva divyadr̥ṣṭipradāyinī |
jatrūrdhvajātarogaughaṃ netir āśu nihanti ca || 2.31 ||","[2.31] Netikarman renser kraniet og giver guddommeligt syn. Den renser
hurtigt strømmen af sygdomme, som opstår over kravebenet.
Dette er Trāṭakakarman:","[2.31] Being calm, one should gaze steadily at a small mark, till eyes are filled with tears. This is called Trataka by āchāryas.",NA,NA,NA
"2","32","अथ त्राटकम्
निरीक्षेन्निश्चलदृशा सूक्ष्मलक्ष्यं समाहितः ।
अश्रुसम्पातपर्यन्तमाचार्यैस्त्राटकं स्मृतम् ॥३२॥","atha trāṭakam
nirīkṣen niścaladr̥śā sūkṣmalakṣyaṃ samāhitaḥ |
aśrusampātaparyantam ācāryais trāṭakaṃ smr̥tam || 2.32 ||","[2.32] Den opmærksomme yogi bør stirre med et ubevægeligt blik på et
lille mærke indtil tårer falder. Denne karman blev overleveret som
Trāṭaka[^73] af læremestrene.","[2.32] Trātaka destroys the eye diseases and removes sloth, etc. It should be kept secret very carefully, like a box of jewellery.","[^73]: Trāṭaka-karman, 'Beskyttelseshandlingen'.",NA,NA
"2","33","मोचनं नेत्ररोगाणां तन्द्रादीनां कपाटकम् ।
यत्नतस्त्राटकं गोप्यं यथा हाटकपेटकम् ॥३३॥","mocanaṃ netrarogāṇāṃ tandrādīṇāṃ kapāṭakam |
yatnatas trāṭakaṃ gopyaṃ yathā hāṭakapeṭakam || 2.33 ||","[2.33] Trāṭakakarman fordriver øjensygdomme og lukker døren til
dovenskab med mere. Yogien bør anstrenge sig for at hemmeligholde denne
karman, som var det en æske fyldt med guld.
Dette er Naulikarman:","[2.33] Sitting on the toes with heels raised above the ground, and the palms resting on the ground, and in this bent posture the belly is moved forcibly from left to right just, as in vomiting. This is called by adepts the Nauli Karma.",NA,NA,NA
"2","34","अथ नौलिः
अमन्दावर्तवेगेन तुन्दं सव्यापसव्यतः ।
नतांसो भ्रामयेदेषा नौलिः सिद्धैः प्रचक्ष्यते ॥३४॥","atha nauliḥ
amandāvartavegena tundaṃ savyāpasavyataḥ |
natāṃso bhrāmayed eṣā nauliḥ siddhaiḥ pracakṣyate || 2.34 ||","[2.34] Yogien får den bøjede mave til at vandre fra side til side, som
en kraftig strømhvirvel. Dette kaldes Naulikarman[^74] af siddhaerne.","[2.34] It removes dyspepsia, increases appetite and digestion, and is like the goddess of creation, and causes happiness. It dries up all the disorders. This Nauli is an excellent exercise in Haṭha Yoga.","[^74]: Nauli-karman, 'Mavehandlingen'.",NA,NA
"2","35","मन्दाग्निसन्दीपनपाचनादि-
सन्धापिकानन्दकरी सदैव ।
अशेषदोषामयशोषणी च
हठक्रियामौलिरियं च नौलिः ॥३५॥","mandāgnisandīpanapācanādisandhāpikānandakarī sadaiva |
aśeṣadoṣāmayaśoṣaṇī ca haṭhakriyā maulir iyaṃ ca nauliḥ || 2.35 ||","[2.35] Naulikarman er haṭha-praksissens kronjuvel. Den udrydder alle
dårligdomme, skaber fryd og sikrer antændelsen af fordøjelsens ild med
videre.
Dette er Kapālabhātikarman:","[2.35] When inhalation and exhalation are performed very quickly, like a pair of bellows of a blacksmith, it dries up all the disorders from the excess of phlegm, and is known as Kapāla Bhāti.",NA,NA,NA
"2","36","अथ कपालभातिः
भस्त्रावल्लोहकारस्य रेचपूरौ ससंभ्रमौ ।
कपालभातिर्विख्याता कफदोषविशोषणी ॥३६॥","atha kapālabhātiḥ
bhastrāval lohakārasya recapūrau sasambhramau |
kapālabhātir vikhyātā kaphadoṣaviśoṣaṇī || 2.36 ||","[2.36] Træk vejret hurtigt ud og ind som en smeds blæsebælg. Dette
hjælper mod slim i halsen og kendes som Kapālabhātikarman.[^75]","[2.36] When Prāṇāyāma is performed after getting rid of obesity born of the defects phlegm, by the performance of the six duties, it easily brings success","[^75]: Kapālabhāti-karman, 'Kranerenselseshandlingen'.",NA,NA
"2","37","षट्कर्मनिर्गतस्थौल्यकफदोषमलादिकः ।
प्राणायामं ततः कुर्यादनायासेन सिद्ध्यति ॥३७॥","ṣaṭkarmanirgatasthaulyakaphadoṣamalādikaḥ |
prāṇāyāmaṃ tataḥ kuryād anāyāsena siddhyati || 2.37 ||","[2.37] Når yogien ved hjælp af de seks karmaner har udryddet overvægt,
slim i halsen, sygdomme, urenheder med mere, bør han praktisere
prāṇāyāma. Han vil uden anstrengelse lykkes.","[2.37] Some āchāryās (teachers) do not advocate any other practice, being of opinion that all the impurities are dried up by the practice of Prāṇāyāma.",NA,NA,NA
"2","38","प्राणायामैरेव सर्वे प्रशुष्यन्ति मला इति ।
आचार्याणां तु केषाञ्चिदन्यत्कर्म न संमतम् ॥३८॥","prāṇāyāmair eva sarve praśuṣyanti malā iti |
ācāryāṇāṃ tu keṣāñcid anyat karma na saṃmatam || 2.38 ||","[2.38] Dog siger nogle lærde: ""Ved hjælp af prāṇāyāma alene fjernes
alle defekter"". De anerkender ikke de andre karmaner.","[2.38] By carrying the Apāna Vāyū up to the throat, the food, etc., in the stomach are vomited. By degrees, the system of Nādīs (Śankhinī) becomes known. This is called in Haṭha as Gaja Karaṇi.",NA,NA,NA
"2","39","ब्रह्मादयोऽपि त्रिदशाः पवनाभ्यासतत्पराः ।
अभूवन्नन्तकभयात्तस्मात्पवनमभ्यसेत् ॥३९॥","brahmādayo 'pi tridaśāḥ pavanābhyāsatatparāḥ |
abhūvann antakabhayāt tasmāt pavanam abhyaset || 2.39 ||","[2.39] Selv de 33 guder,[^76] begyndende med Brahmā,[^77] satte deres
lid til åndedrætsøvelser af frygt for døden. Derfor bør man praktisere
åndedrætsøvelser.","[2.39] Brahmā, and other Devas were always engaged in the exercise of Prāṇāyāma, and, by means of it, got rid of the fear of death. Therefore, one should practise prāṇāyāma regularly.","[^76]: De 33 vediske guder omtales første gang i Bṛhadāraṇyaka Upaniṣad (c. 6. årh. f.v.t.). Gruppen af guder (devaer) omfatter som regel de tolv Ādityaer, de elleve Rudraer og otte Vasuer, hvortil regnes to guder, som varierer (i dette tilfælde Brahmā og eventuelt Viṣṇu).
[^77]: Brahmā er en personlig skabergud og regnes sammen med Viṣṇu (opretholderen) og Śiva (ødelæggeren) som en del af den indiske triade (trimūrti) af højguder med hver sin kosmologiske funktion. I praksis er Brahmā dog ikke en højgud, men en funktionsgud, der trækker sig tilbage efter endt gerning (deus otiosus). De tre højguder, Śiva, Viṣṇu og Devī, besidder til gengæld hver især de tre kosmologiske funktioner og knyttes til hver sin store hinduistiske tradition: śaivismen, vaiṣṇavismen og śāktismen.",NA,NA
"2","40","यावद्बद्धो मरुद्देहे यावच्चित्तं निराकुलम् ।
यावद्दृष्टिर्भ्रुवोर्मध्ये तावत्कालभयं कुतः ॥४०॥","yāvad baddho marud dehe yāvac cittaṃ nirākulam |
yāvad dr̥ṣṭir bhruvor madhye tāvat kālabhayaṃ kutaḥ || 2.40 ||","[2.40] Så længe åndedrættet fastholdes i kroppen, så længe sindet er
roligt og så længe blikket er fæstnet mellem øjenbrynene - hvorfor så
frygte døden?","[2.40] So long as the breath is restrained in the body, so long as the mind is undisturbed, and so long as the gaze is fixed between the eyebrows, there is no fear from Death.",NA,NA,NA
"2","41","विधिवत्प्राणसंयामैर्नाडीचक्रे विशोधिते ।
सुषुम्नावदनं भित्त्वा सुखाद्विशति मारुतः ॥४१॥","vidhivat prāṇasaṃyāmair nāḍīcakre viśodhite |
suṣumṇāvadanaṃ bhittvā sukhād viśati mārutaḥ || 2.41 ||","[2.41] Når alle kroppens nāḍīer er rensede, strømmer luften med lethed
ind i Suṣumnās mund, som er brudt åben ved den foreskrevne beherskelse
af prāṇa.
Dette er Manonmanī-stadiet:","[2.41] When the system of Nādis becomes clear of the impurities by properly controlling the prāṇa, then the air, piercing the entrance of the Suśumṇā, enters it easily.",NA,NA,NA
"2","42","अथ मनोन्मनी
मारुते मध्यसंचारे मनःस्थैर्यं प्रजायते ।
यो मनःसुस्थिरीभावः सैवावस्था मनोन्मनी ॥४२॥","atha manonmanī[^78]
mārute madhyasaṃcāre manaḥsthairyaṃ prajāyate |
yo manaḥsusthirībhāvaḥ saivāvasthā manonmanī || 2.42 ||","[2.42] Når åndedrættet bevæger sig i midten, stilnes sindet. Denne
behagelige tilstand af sindsro er Manonmanī-stadiet.[^79]","[2.42-43] To accomplish it, various Kumbhakas are performed by those who are expert in the methods; for, by the practice of different Kumbhakas, wonderful success is attained.","[^79]: Manonmanī-stadiet er en tilstand af fuldstændig sinds- og kropsro samt dybdekoncentration, hvor al opmærksomhed rettes mod et enkelt punkt (ekāgratā). Tilstanden er bevidst i modsætning til Unmanī-stadiet (jf. 4.39, 4.47, 4.61, 4.104, 4.106). Andetsteds siges de dog at være synonymer (4.3-4). Manonmanī kan tilnærmelsesvis oversættes med ""sindet hinsides sindet"".","[^78]: Denne kommentar forekommer ikke i Lonāvlā-versionen af Haṭhapradīpikā, men er alligevel medtaget her for klarhedens skyld i overensstemmelse med GRETIL.",NA
"2","43","तत्सिद्धये विधानज्ञाश्चित्रान्कुर्वन्ति कुम्भकान् ।
विचित्रकुम्भकाभ्यासाद्विचित्रां सिद्धिमाप्नुयात् ॥४३॥","tatsiddhaye vidhānajñāś citrān kurvanti kumbhakān |
vicitra kumbhakābhyāsād vicitrāṃ siddhim āpnuyāt || 2.43 ||","[2.43] De, som er vidende om fremgangsmåden, vil udføre alverdens
kumbhakaer for at opnå dette. Ved at udføre alverdens kumbhakaer opnås
talrige siddhier.[^80]
Dette er kumbhakaerne:",NA,"[^80]: Siddhier, 'magiske kræfter, overnaturlige evner'.",NA,NA
