"photo","chapter","verse","transliteration_with_image_change","transliteration","notes_parallels","notes_collation","translation_english","notes_sanskrit","notes_translation"
"ochs_000_000_002_amrtesatantram_000_008.jpg","2","10",NA,"yat tat sarveṣu netreṣu netrabhūtaṃ prakīrtitam / mamāṃśake na kenāpi lakṣitaṃ tu sudurlabhaiḥ // 10 //",NA,NA,"2.10. Among all eyes, the reality of the eye has been proclaimed, [but] on my part, nobody has de ned it because of the diﬃculties in attaining it.4",NA,NA
"ochs_000_000_002_amrtesatantram_000_008.jpg","2","11",NA,"tavādya kathayiṣyāmi tṛprakāraṃ paraṃ dhruvam / mantrayogajñānagamyaṃ moksadaṃ siddhidaṃ param // 11 //",NA,NA,"2.11. Today I will tell you about the threefold method [which is] de nitely the best; it bestows the best supernatural ability [and] liberation, to be attained by mantra, yoga, and knowl- edge.",NA,NA
"ochs_000_000_002_amrtesatantram_000_008.jpg","2","12",NA,"ādau mantramayaṃ vakṣye siddhitrayasamanvitam / sāṅgaṃ svamudrayā yuktaṃ sarvatrāṇakaraṃ param // 12 //",NA,NA,"2.12. I speak about that which is made of mantra, which possesses a threefold perfection, complete, associated with its own seal, the supreme, that protects all.",NA,NA
"ochs_000_000_002_amrtesatantram_000_008.jpg","2","13-16",NA,"bhūtayakṣagrahonmādaśākinīyoginīgaṇaiḥ / bhaginīrudramātrībhiḍāvyāḍāmarakādibhiḥ / // 13 // rūpikābhir apasmāraiḥ piśācaiś cāpy anekaśaiḥ/ brahmarakṣograhādibhyaḥ kotiśo yadi mudritāḥ // 14 // apamṛtyubhir ākrāntāḥ kālapāśajighāṃsatā / rājāno rājatanayā rājapatnyo hy anekaśaḥ // 15 // viprādiprāṇinaḥ sarve sarvadoṣabhayārditāḥ / yena vai smṛtamātreṇa mucyante tad bravīmi te // 16 //",NA,NA,"2.13-16. If they are marked by Bhūtas, Yakṣas, Grahas, Unmādas, Śākiṇis, Yoginīs, Gaṇas, Bhaginīs, Rudramātṛs etc., Ḍāvīs (Ḍāvyas), Ḍāmarikas, by Rūpikas, Apasmaras, Piśācas, and also others, Brahmarakṣas and millions of Ugrahas, [then] kings, princes, and queens are repeatedly aﬄicted by sudden death and killed by the snares of time [along with] all living beings beginning with Brahmins, aﬄicted by all [kinds of] faults and fears. They are freed by simply remembering what I am [about] to tell you.",NA,NA
"ochs_000_000_002_amrtesatantram_000_008.jpg","2","17-18",NA,"bhūyapradeśe same ramye candanāgurucarcite / karpūrāmodagandhāḍhye kuṅkumodakacārcate // 17 // ācāryaḥ suprahṛṣtātmā candanāgurucarcitaḥ / uṣṇīrādyair ābharaṇair bhūṣitaḥ sumahāmatiḥ // 18 //",NA,NA,"2.17-18. In a pure and even place, smeared with [a preparation of] aloe wood and sandal [oils], infused with the fragrant scent of camphor, smeared with the perfume of saﬀron, the great minded teacher is joyful, smeared with aloe and sandal, and adorned by ornaments, turbans5 and so on.",NA,NA
"ochs_000_000_002_amrtesatantram_000_009.jpg","2","19",NA,"padmam aṣṭadalaṃ kṛtvā mātṛkāṃ tatra cālikhet / tritanuṃ madhyato lekhaṃ vargāṣtau prāgviṣo likhet // 19 //",NA,NA,"2.19. Having made a lotus of eight petals, he should write the alphabet there. Having xed the [sign for] OṂ in the middle, he should write the letters beginning from the east.6",NA,NA
"ochs_000_000_002_amrtesatantram_000_009.jpg","2","20",NA,"pūjayet parayā bhaktyā puṣpadhūpārghavistaraiḥ / mantramātātato devi proddharen mantram uttamam // 20 //",NA,NA,"2.20. He should worship with highest devotion and with a multitude of oﬀerings [such as] owers, fragrant powders, and holy water. He should place [there], O Goddess, the mantra deity, the supreme mantra, the mother of mantras.",NA,NA
"ochs_000_000_002_amrtesatantram_000_009.jpg","2","21-22",NA,"viśvādyaṃ viśvarūpāntaṃ viśvahāmṛtakandalam / jyotidhvaniparāśaktiḥ śivam ekatra yojayet // 21 // anena grathitaṃ sarvaṃ sūtre maṇigaṇā iva / asmān mantrā[ḥ] samutpannā[ḥ] saptakoṭyādhikāriṇaḥ // 22 //",NA,NA,"2.21-22. One should join together the light that is the supreme power of sound with Śiva; beginning with the universal (i.e. the syllable A), ending with various letters [and] in every case completed with a cresent moon7 and nectar (i.e. the point or anusvāra). With that [syl- lable OṂ], all [letters] are strung together like a series of jewels on a thread; from it, Mantras for the quali ed [practitioner] of seventy million [kinds] have arisen.8",NA,NA
"ochs_000_000_002_amrtesatantram_000_009.jpg","2","23",NA,"citrabhānupadāntasthaṃ śaśāṅkaśakalodaram / tad aṅkuśordhvavinyastaṃ tiryagantūrdhvayojitam // 23 //",NA,NA,"2.23. Following the place belonging to re [i.e. the South-East and so the South] is the belly which is like the half moon [i.e. JA], placed above the goad [i.e. the syllable U], which is connected above that at the end of the [group of ] wind-letters [in the north-west, i.e. MA].9",NA,NA
"ochs_000_000_002_amrtesatantram_000_009.jpg","2","24",NA,"etat tat paramaṃ jyotir etat tat paramāmṛtam / etat paramam uddiṣṭaṃ amṛtaṃ lokaviśrutam // 24 //",NA,NA,"2.24. Whatever is the highest light, that is the supreme nectar [i.e. the syllable SA], that is taught as supreme, the nectar renowned in the world.",NA,NA
"ochs_000_000_002_amrtesatantram_000_009.jpg","2","25",NA,"peyūṣakalayā yuktaṃ pūrṇacandranibhopamam / etat paratamaṃ dhāmaṃ etat paratamaṃ padam // 25 //",NA,NA,"2.25. United with the power of nectar [i.e. the visarga Ḥ]10 it resembles the lustre of the full moon. It is the highest light, it is the highest place.",NA,NA
"ochs_000_000_002_amrtesatantram_000_010.jpg","2","26",NA,"etat paratamaṃ vīryaṃ etat paramāmṛtaṃ / tejasāṃ paramaṃ tejaṃ jyotiṣāṃ jyotir uttamam // 26 //",NA,NA,"2.26. It is his supreme power, it is his highest nectar, the highest brilliance of brilliances, the supreme light of lights.",NA,NA
"ochs_000_000_002_amrtesatantram_000_010.jpg","2","27",NA,"sarvasya jagato deva īśvaraṃ kāraṇam dhruvam/ sraṣṭā kartā ca harttā ca nāsty asya jagato balī // 27 //",NA,NA,"2.27. The god of the entire universe is the Lord, the de nite cause, the creator, maker, and destroyer, no one has the strength of the world.11",NA,NA
"ochs_000_000_002_amrtesatantram_000_010.jpg","2","28",NA,"mantrāṇām ālayaṃ hy eṣa sarvasiddhiguṇāspadaḥ / adhunāṅgāni vakṣyāmi sannaddho yais tu siddhyati // 28 //",NA,NA,"2.28. [The eye is] the basis of mantras for [it is] the abode of all supernatural powers and virtues. I will now tell you about the ancillary mantras [and the ritual] preparation by which [the practitioner] achieves success.",NA,NA
"ochs_000_000_002_amrtesatantram_000_010.jpg","2","29",NA,"kṛtāntamadhyamaṃ varṇaṃ svararāṭpañcamānugam / prabhaṃjanāntaśirasaṃ hṛdayaṃ sarvasaṃsthitam// 29 //",NA,NA,"2.29. Situated on the southern petal [the group beginning with CA] is the middle syllable [of that group, namely JA], followed by the fth [letter in the group of] the king of sounds [namely U]. The head is the nal in the wind [group, namely MA or the anusvāra]. [This is the second seed syllable which is rendered as] the heart located in all [beings].12",NA,NA
"ochs_000_000_002_amrtesatantram_000_010.jpg","2","30",NA,"somāntam analādyena yuktaṃ praṇavayojitam / śiro hy eṣo 'nilāntena yukto māyā śikhā smṛtā // 30 //",NA,NA,"2.30. This is the [formation of the] head [mantra]: the end of the moon [category, i.e. the syllable VA] is connected with the re [category, the syllable YA, and] connected with the OṂ. The tuft is known as illusion [the syllable I] united with the end of the air [category, the syllable M].13",NA,NA
"ochs_000_000_002_amrtesatantram_000_010.jpg","2","31",NA,"praśāntam īśvarordhvaṃ ca dvādaśārdvanijojitam / śivaśaktis tathā nāda yuktaṃ tad varmanottamam// 31 //",NA,NA,"2.31. At the end of the calm, above the Lord [category, the syllable KŚA, is the syllable HA]. It is joined with the sixth [letter Ū]. [Along with] the resonance connected with Śiva and Śakti [the nasal Ṃ], it is the supreme armour [HŪṂ].",NA,NA
"ochs_000_000_002_amrtesatantram_000_011.jpg","2","32",NA,"subhairavādyaṃ praṇavaṃ sadāgatiśirasthitam / netramantramahodagraṃ sarvakilbiṣanāśanam // 32 //",NA,NA,"2.32. Along with the rst of Bhairava [the syllable JA] and situated on the head of the wind [which is the syllable YA] is OṂ. [This is the very ferocious eye mantra [of the eye] which destroys all sins.",NA,NA
"ochs_000_000_002_amrtesatantram_000_011.jpg","2","33",NA,"ajīvakaṭasaṃyuktaṃ astram etat prakīrtitam / aṅgaṣaṭka[ṃ] samākhyātaṃ mantrājasya nisṛtam // 33 // iti sarvasrotasaṃgrahasāre amṛtīśavidhane mṛtyuñjaye mantroddhāra vidhir dvitiyaḥ paṭalaḥ /",NA,NA,"2.33. This weapon mantra is declared to be the syllable PHA united with ṬA.14 This sixfold [set] of components of the king of mantras had been proclaimed [and] unsheathed.15 Thus [is completed] the second chapter about the injunction of raising the mantra of Mṛ- tyuñjaya, the rule of the Lord of Immortality, the essence of the group of all streams [of revelation].",NA,NA
"ochs_000_000_002_amrtesatantram_000_011.jpg","3","1-2","tṛtīyo 'dhikāraḥ īśvara uvāca: adhūnā yajanaṃ vakṣye yena siddhyati mantrarāṭ / ādau snānaṃ prakurvī[next image]ta sarvakilbiṣanāśanam // 1 // astramantreṇa deveśi mṛdam udhṛtya mantravit / śaucaṃ yathoditaṃ kṛtvā snānam paścāt samārabhet // 2 //","tṛtīyo 'dhikāraḥ īśvara uvāca: adhūnā yajanaṃ vakṣye yena siddhyati mantrarāṭ / ādau snānaṃ prakurvīta sarvakilbiṣanāśanam // 1 // astramantreṇa deveśi mṛdam udhṛtya mantravit / śaucaṃ yathoditaṃ kṛtvā snānam paścāt samārabhet // 2 //",NA,NA,"The Lord spoke: 3.1-2. Now I will tell [you] about the worship by which the king of mantras succeeds. First [the practitioner] bathes for the destruction of all sin. O Goddess, extracting clay with the weapon mantra, after doing the prescribed puri cation, the knower of mantra then begins bathing.",NA,NA
"ochs_000_000_002_amrtesatantram_000_011.jpg","3","3",NA,"pādau jaṅghe kaṭīṃ caurū pūrvaṃ mṛdbhis tribhis tribhih / tribhir antarayogena saptabhiḥ śudhyate manaḥ // 3 //",NA,NA,"3.3. First [he adorns] his feet with clay, shanks, buttocks, and thighs three times three; the mind is puri ed by the inner practice with three times seven [mantra repetitions].",NA,NA
"ochs_000_000_002_amrtesatantram_000_011.jpg","3","4",NA,"saptābhimantritaṃ kṛtvā mṛdam astreṇa mantravit / pratāpyārkamukhe paścāc charīram anulepayet // 4 //",NA,NA,"3.4. Kneading the clay, consecrating it seven times with the weapon mantra, after warming it in the sun, the knower of mantras should anoint his body.",NA,NA
"ochs_000_000_002_amrtesatantram_000_011.jpg","3","5",NA,"vighnopaśamanārthaṃ tu kṣālya mantrajalaṃ japet / vāmahaste tato bhāgān mṛdayātrīṃs tu kārayet // 5 //",NA,NA,"3. 5. Having washed the body to remove obstacles, he should mutter the water mantra, then he should make three clay portions in the left hand.",NA,NA
"ochs_000_000_002_amrtesatantram_000_012.jpg","3","6",NA,"astrajaptaṃ kṣiped dikṣu mūle tīrthaṃ prakalpayet/ aṅgaiḥ śarīram ālipya kṣālya mantrajalaṃ japet // 6 //",NA,NA,"3.6. He should throw [the clay, which] was muttered over with the weapon mantra, to the directions, [and] he should imagine the crossing point as the root mantra. After writing on the body with the auxiliary mantras [and] having thrown [water] he should mutter the water mantra.",NA,NA
"ochs_000_000_002_amrtesatantram_000_012.jpg","3","7",NA,"mūlaṃ śaktyā samuttīrya sandhyāṃ vandeta tu kramāt/ śikhāṃ baddhvā śikhāṃ smṛtvā mantrāṇāṃ tarpaṇaṃ tataḥ // 7 //",NA,NA,"3.7. [The practitioner] should praise the root [mantra] in the rites at the junctures of the day, having brought it forth with power in due order. After binding his hair in a top knot, recalling the top knot [he should perform] the puri cation of the mantras.",NA,NA
"ochs_000_000_002_amrtesatantram_000_012.jpg","3","8",NA,"devān pitṛn ṛṣīṃś caiva manujān bhūtasaṃyutān / santarpatīrthaṃ saṃgṛhya yāgauko vidhinā viśet // 8 //",NA,NA,"3.8 . Having satis ed the gods, ancestors, sages, and men along with the demons, abiding at the threshold,1 he should enter the sanctum in accordance with the rule.",NA,NA
"ochs_000_000_002_amrtesatantram_000_012.jpg","3","9",NA,"āśāmātrīgaṇaṃ lakṣmīṃ nandigaṅge prapūjayet / mahākālaṃ tu yamunāṃ dehalīṃ pūjayet tataḥ // 9 //",NA,NA,"3.9. He should make oﬀering to the mothers in the [outer] directions, Gaṇapati and Lakṣmī [above the door] and Nandin and Gaṅgā [on the right]. Then he should worship Mahākāla [and] Yamunā [on the left] doorpost.",NA,NA
"ochs_000_000_002_amrtesatantram_000_012.jpg","3","10-11",NA,"vighnaproccāṭanaṃ kṛtvā digbandhaṃ kavacāstrayoḥ / svāsanārthaṃ prakalpeta śaktim ādhārapūrvikām // 10 // upaviśya tataḥ kuryāt prāṇāyāmam anukramāt / dhāraṇām ārabhet tatra yugapac choṣaṇādibhiḥ // 11 //",NA,NA,"3.10-11. After removing the ghosts with the weapon mantra 2 [and] sealing the directions with the armour mantra [preventing their re-entry], sitting down facing east3 and visualis- ing the support power as his own throne, he should perform breath control in due order. He should concentrate on that place [at the support power of the earth] together with wind and so on4",NA,NA
"ochs_000_000_002_amrtesatantram_000_012.jpg","3","12",NA,"ṣāṭkoṣikaṃ tu malinaṃ digbandhaṃ tatra bhāvayet / vijñānaṃ kevalaṃ tatra śūnyaṃ tatra gataṃ smaret // 12 //",NA,NA,"3.12. There he should meditate the sealing of the quarters, [imagining] impurity as six sheaths [in the body]. There he should meditate consciousness only that pervades [objects which are] empty.",NA,NA
"ochs_000_000_002_amrtesatantram_000_013.jpg","3","13",NA,"nāham asmi na cānyo’sti dhyeyaṃ cātra nivedyate / ānandapadasallīnaṃ manaḥ samarasīgatam // 13 //",NA,NA,"3.13. He proclaims here, ‘I do not exist and no other exists' which ought to be meditated upon; dissolving in a state of joy, the mind has entered into the sameness of avour [with the Lord].",NA,NA
"ochs_000_000_002_amrtesatantram_000_013.jpg","3","14",NA,"paścād ādhāraśaktisthaṃ svāsanaṃ paribhāvayet / ātrīṃ payo’rṇavaṃ padmaṃ candrabiṃbāvabhāsitam // 14 //",NA,NA,"3.14 Afterwards he should meditate on his own throne as the place of the support power, the earth, the ocean of milk, the lotus, the shining image of the moon.",NA,NA
"ochs_000_000_002_amrtesatantram_000_013.jpg","3","15",NA,"paścāt kalākalāpotthaṃ peyūṣena tu siñcitam / mūrtipūrvaṃ tṛtattve tu mūlenaiva prakalpayet // 15 //",NA,NA,"3.15. After [the puri cation of the body] he should visualise the series of phases of the rising moon, sprinkled with nectar [along with] the eastern image, in the three realities with the root [mantra].5",NA,NA
"ochs_000_000_002_amrtesatantram_000_013.jpg","3","16",NA,"tato'ṅgāni karābhyāṃ tu śarīre vinyāset punaḥ / māntraṃ caivābhimānaṃ tu cintayed dhyānayogataḥ // 16 //",NA,NA,"3.16. Then he should x the ancillary [mantras] on the body with both hands once more. With the practice of concentration he should meditate the mantra [that gives him] a sense of self presence.6",NA,NA
"ochs_000_000_002_amrtesatantram_000_013.jpg","3","17-20","dhenumudrā tato badhvā padmamudrā tatathāpi vā / dhyāyed ātmani deveśaṃ candrakoṭisamaprabham // 17 // svacchamuktāphalaprakhyaṃ sphaṭikādrisamaprabham / kundendugokṣīranibhaṃ himādṛsadṛśaṃ vibhum // 18 // śubhrahārendukāntādisitabhūṣaṇabhūṣitaṃ / sitacandanaliptāṅgaṃ karpūrakṣodadhūsaram // 19 // sphuraccandrāmṛtasphārabahulormipariplūtam / somamaṇḍalamadhyasthaṃ ekavaktram trilocanam // 20 //","dhenumudrā tato badhvā padmamudrā tatathāpi vā / dhyāyed ātmani deveśaṃ candrakoṭisamaprabham // 17 // svacchamuktāphalaprakhyaṃ sphaṭikādrisamaprabham / kundendugokṣīranibhaṃ himādṛsadṛśaṃ vibhum // 18 // śubhrahārendukāntādisitabhūṣaṇabhūṣitaṃ / sitacandanaliptāṅgaṃ karpūrakṣodadhūsaram // 19 // sphuraccandrāmṛtasphārabahulormipariplūtam / somamaṇḍalamadhyasthaṃ ekavaktram trilocanam // 20 //",NA,NA,"3.17.-20. Having assumed the cow gesture or also the lotus gesture, he should meditate on the Lord of gods in the self, having equal splendour to ten million moons, resembling the fruit released from a jujube tree, having equal splendour to camphor, like jasmine, the moon, and cow’s milk, resembling a [crystal] mountain, adorned with white ornaments with sandal, delightful camphor, saﬀron and so on, with limbs smeared with white sandal, powdered, grey camphor, submerged by many wide waves of nectar from the throbbing moon, situated in the middle of the lunar disc, single faced with three eyes.",NA,NA
"ochs_000_000_002_amrtesatantram_000_013.jpg","3","21-23","sitapadmopaviṣṭaṃ ca baddhapadmāsanasthitaḥ / caturbhūjaṃ viśālākṣaṃ varadābhayapāṇinam // 21 // pūrṇacandranibhaṃ śubhraṃ amṛtenaiva pūritam / kalaśaṃ dhārayantaṃ hi jagadāpyāyakārakam // 22 // paripūrṇaṃ tathā candraṃ vāmahaste vicintayet / sarvaśvetopacāreṇa pūjitaṃ tam anusmaret // 23 //","sitapadmopaviṣṭaṃ ca baddhapadmāsanasthitaḥ / caturbhūjaṃ viśālākṣaṃ varadābhayapāṇinam // 21 // pūrṇacandranibhaṃ śubhraṃ amṛtenaiva pūritam / kalaśaṃ dhārayantaṃ hi jagadāpyāyakārakam // 22 // paripūrṇaṃ tathā candraṃ vāmahaste vicintayet / sarvaśvetopacāreṇa pūjitaṃ tam anusmaret // 23 //",NA,NA,"3.21.-23. And seated on a white lotus [he is] established and xed on the lotus throne, ra- diant like the full moon, having four arms, with bulging eyes, whose hands bear the boon giving and protection gestures, holding [in his right hand] a pot lled with nectar, making full the entire universe. Then [the practitioner] should visualise in his left hand a full moon. He should meditate on him [to be] revered with worship that is entirely white.",NA,NA
"ochs_000_000_002_amrtesatantram_000_014.jpg","3","24","bahunātra kim uktena sākṣādāmṛtasāgaraṃ / tasmād eva samutpannam amṛtaṃ viśvajīvanam // 24 //","bahunātra kim uktena sākṣādāmṛtasāgaraṃ / tasmād eva samutpannam amṛtaṃ viśvajīvanam // 24 //",NA,NA,"3.24. What need is there of much talk regarding this? He directly perceives the ocean of nectar, from which nectar is produced, vivifying for all.",NA,NA
"ochs_000_000_002_amrtesatantram_000_014.jpg","3","25","atha cintāmaṇiprakhyaṃ bhāvabhedena saṃsmaret / saumyaṃ raudraṃ tathā bhīmaṃ vikṛtaṃ bhāvabhedataḥ // 25 //","atha cintāmaṇiprakhyaṃ bhāvabhedena saṃsmaret / saumyaṃ raudraṃ tathā bhīmaṃ vikṛtaṃ bhāvabhedataḥ // 25 //",NA,NA,"3.25. So he should meditate upon [the deity] according to the division of its nature, as the wish-ful lling gem [allows] , distinguished by its nature as gentle, savage, fearful, [or] de- formed.",NA,NA
"ochs_000_000_002_amrtesatantram_000_014.jpg","3","25-28","atha cintāmaṇiprakhyaṃ bhāvabhedena saṃsmaret / saumyaṃ raudraṃ tathā bhīmaṃ vikṛtaṃ bhāvabhedataḥ // 25 // sadāśivaṃ bhairavaṃ ca tuṃburuṃ vīranayakam / yena yena hi rūpeṇa sādhakaḥ saṃsmaret tadā // 26 // tasya tanmayatāṃ yāti cintāmaṇiriveśvaraḥ / evaṃ dhyātvā yajed devaṃ mānasaiḥ kusumaiḥ śubhaiḥ // 27 // hṛtpadme sarvasiddhyārthaṃ paścād bāhye prapūjayet / mānasaiḥ kusumair ārcā sādhakena śubhā matā // 28 //","atha cintāmaṇiprakhyaṃ bhāvabhedena saṃsmaret / saumyaṃ raudraṃ tathā bhīmaṃ vikṛtaṃ bhāvabhedataḥ // 25 // sadāśivaṃ bhairavaṃ ca tuṃburuṃ vīranayakam / yena yena hi rūpeṇa sādhakaḥ saṃsmaret tadā // 26 // tasya tanmayatāṃ yāti cintāmaṇiriveśvaraḥ / evaṃ dhyātvā yajed devaṃ mānasaiḥ kusumaiḥ śubhaiḥ // 27 // hṛtpadme sarvasiddhyārthaṃ paścād bāhye prapūjayet / mānasaiḥ kusumair ārcā sādhakena śubhā matā // 28 //",NA,NA,"3.25.-28. [Those forms are] Sadāśiva, Bhairava, Tumburu, and Vīranayaka. Then what- ever form the practitioner meditates upon, he goes to that; the Lord [attained], as it were, through the wish ful lling gem.7 Having thus visualised [the deity] in this way, he should worship the god with beautiful, mental owers in the lotus of the heart for the purpose of all accomplishments. After that he should worship externally. The pure, mental icon is [wor- shipped] with mental owers by the practitioner.",NA,NA
"ochs_000_000_002_amrtesatantram_000_014.jpg","3","29","anirmālyā parā śuddhā mokṣadā siddhidā śubhā / tasmāt sarvaprayatnena mānasaṃ yajanaṃ dhruvam // 29 //","anirmālyā parā śuddhā mokṣadā siddhidā śubhā / tasmāt sarvaprayatnena mānasaṃ yajanaṃ dhruvam // 29 //",NA,NA,"3.29. [This mental icon] without impurity, supremely pure, auspicious, bestows libera- tion, [and] bestows magical powers, therefore with every continued eﬀort, determinedly the mental worship [is to be performed].",NA,NA
"ochs_000_000_002_amrtesatantram_000_014.jpg","3","30-31ab","ādāv evaṃ prakartavyaṃ paścād dravyais suvistaraiḥ / svagṛhe devatāgāre saṃgame girimūrdhani // 30 // supraśaste tu bhūbhāge padmaśaṇḍe suśobhane /","ādāv evaṃ prakartavyaṃ paścād dravyais suvistaraiḥ / svagṛhe devatāgāre saṃgame girimūrdhani // 30 // supraśaste tu bhūbhāge padmaśaṇḍe suśobhane /",NA,NA,"3.30.-31ab. Then after [mental worship] this [external worship] is to be performed with var- ious substances, in one's own house, meeting in a temple, at the top of a mountain, with praise, on a part of the earth, in a splendid thicket of lotuses.",NA,NA
"ochs_000_000_002_amrtesatantram_000_014.jpg","3","31cd-33","ālikhen maṇḍalaṃ citraṃ sitarekhopaśobhitam // 31 // caturdvāraṃ catuṣkoṇaṃ susamaṃ tu matoramam / śobhopaśobhasaṃpannaṃ tanmadhye śaśimaṇḍalam // 32 // pūrṇacandrasamaprakhyaṃ raśmimālāvalīyutam / tanmadhye ’ṣṭadalaṃ padmaṃ susitaṃ candrasannibham // 33 //","ālikhen maṇḍalaṃ citraṃ sitarekhopaśobhitam // 31 // caturdvāraṃ catuṣkoṇaṃ susamaṃ tu matoramam / śobhopaśobhasaṃpannaṃ tanmadhye śaśimaṇḍalam // 32 // pūrṇacandrasamaprakhyaṃ raśmimālāvalīyutam / tanmadhye ’ṣṭadalaṃ padmaṃ susitaṃ candrasannibham // 33 //",NA,NA,"3.31cd-33. He should draw a ritual diagram decorated with white lines, four doors, four equal corners, gratifying, possessed of brilliance upon brilliance, with the circle of the moon in the middle of it, like a full moon consisting of a garland row of moonbeams, with a lotus of eight petals in the middle of that, white like the moon.",NA,NA
"ochs_000_000_002_amrtesatantram_000_015.jpg","3","34","vicitrakesaropetaṃ hemakarṇikam uttamam / tanmadhye caiva deveśaṃ svasthānād avatārayet // 34 //","vicitrakesaropetaṃ hemakarṇikam uttamam / tanmadhye caiva deveśaṃ svasthānād avatārayet // 34 //",NA,NA,"3.34. Uppermost is the golden pericarp having variegated laments and into the middle of that he should make the Lord of gods descend from his own place.",NA,NA
"ochs_000_000_002_amrtesatantram_000_015.jpg","3","35","āvāhayet tato devaṃ tridehaparikalpitam // 35 //","āvāhayet tato devaṃ tridehaparikalpitam // 35 //",NA,NA,"3.35. Then he should invite the god imagined with three bodies.",NA,NA
"ochs_000_000_002_amrtesatantram_000_015.jpg","3","36","āgneyādivibhāgena daleṣv aṅgāni vinyāset/ pūjyaṃ śvetopacāreṇa puṣpāmbaravilepanaiḥ // 36 //","āgneyādivibhāgena daleṣv aṅgāni vinyāset/ pūjyaṃ śvetopacāreṇa puṣpāmbaravilepanaiḥ // 36 //",NA,NA,"3.36. He should x the ancillary mantras on the petals beginning with the south-eastern quarter. [The Lord is] to be worshipped with white oﬀerings, with ungents from the per- fume of owers.",NA,NA
"ochs_000_000_002_amrtesatantram_000_015.jpg","3","37","naivedyair vividhaiś citrair dhūpaiḥ śreṣṭaiḥ sudhūpitaiḥ / hṛdyaiḥ pānaiś ca vividhair bhāvabhedena pūjayet // 37 //","naivedyair vividhaiś citrair dhūpaiḥ śreṣṭaiḥ sudhūpitaiḥ / hṛdyaiḥ pānaiś ca vividhair bhāvabhedena pūjayet // 37 //",NA,NA,"3.37. He should worship [the deity] according to the distinction of its nature, with food oﬀer- ings of various kinds, with well perfumed diﬀerent kinds of best incense, and with various pleasant drinks.",NA,NA
"ochs_000_000_002_amrtesatantram_000_015.jpg","3","38","sarvaśvetopacāreṇa śāntyarthaṃ pūjayet priye / puṣṭyarthaṃ bahubhir miśraiḥ saṃbhāraḥ saṃskrtaṃ yajet // 38 //","sarvaśvetopacāreṇa śāntyarthaṃ pūjayet priye / puṣṭyarthaṃ bahubhir miśraiḥ saṃbhāraḥ saṃskrtaṃ yajet // 38 //",NA,NA,"3.38. O beloved, he should worship for the purpose of appeasement with entirely white substances; he should make oﬀerings to the sancti ed [icon] for the purpose of prosperity, with many mixed materials brought together.",NA,NA
"ochs_000_000_002_amrtesatantram_000_015.jpg","3","39","paścād dhomaṃ prakurvīta yathākarmānurūpataḥ / trimekhale vartule ca caturaśre suśobhane // 39 //","paścād dhomaṃ prakurvīta yathākarmānurūpataḥ / trimekhale vartule ca caturaśre suśobhane // 39 //",NA,NA,"3.39. Afterwards he should perform the re sacri ce according to prescribed ritual [in the re pit which is], round and square, beautiful, with three encircling steps.8",NA,NA
"ochs_000_000_002_amrtesatantram_000_016.jpg","3","40-41","hastamātre tataḥ kuṇḍe ṣaḍaṅgenordhvamekhale / madhyamādicatuṣkeṇa dvādaśāṅgena cādhamā // 40 // hastamātraṃ tataḥ khātaṃ aṣṭham ekāṅgulāyatam / aśvatthapattrasadṛśīnābhiḥ kuryān navāṅgulā // 41 //","hastamātre tataḥ kuṇḍe ṣaḍaṅgenordhvamekhale / madhyamādicatuṣkeṇa dvādaśāṅgena cādhamā // 40 // hastamātraṃ tataḥ khātaṃ aṣṭham ekāṅgulāyatam / aśvatthapattrasadṛśīnābhiḥ kuryān navāṅgulā // 41 //",NA,NA,"3.40-41. So [he should make the re] pot a hand's measure [deep], with an upper step mea- suring six ngers, the middle of eight, and the lower of twelve ngers, thus the pit is a hand's measure, eight and one nger. The navel [of the re pit] resembling a banyan tree leaf, he should make nine ngers [deep].",NA,NA
"ochs_000_000_002_amrtesatantram_000_016.jpg","3","42","dairghyāt tu pārśvatas tadvat tanmadhyāgrāṅgulatrayam uktaṃ sāhasrike home dviguṇaṃ cāyute matam // 42 //","dairghyāt tu pārśvatas tadvat tanmadhyāgrāṅgulatrayam uktaṃ sāhasrike home dviguṇaṃ cāyute matam // 42 //",NA,NA,"3.42. [The re altar] is three ngers from top to middle, like that from length to side. It is declared [that it should be suﬃcient] for the thousandfold re oﬀering and [should have] a double quality understood [to be suﬃcient] in [the ten thousandfold] sacri ce.9",NA,NA
"ochs_000_000_002_amrtesatantram_000_016.jpg","3","43","tripañcāyutahomena triguṇaṃ tad vidhīyate / kuṇḍaṃ vai lakṣaṇopetaṃ lakṣahome praśasyate // 43 //","tripañcāyutahomena triguṇaṃ tad vidhīyate / kuṇḍaṃ vai lakṣaṇopetaṃ lakṣahome praśasyate // 43 //",NA,NA,"3.43. The fteenfold sacri ce is considered as having a threefold quality. The re pit, pos- sessing that quality, is truly praised in the ten-thousand sacri ce.",NA,NA
"ochs_000_000_002_amrtesatantram_000_016.jpg","3","44","nityanaimittike kāmye śāntau puṣṭau tu vartulam / sarvadikṣu praśāsyeta śrīkāme caturaśrakam // 44 //","nityanaimittike kāmye śāntau puṣṭau tu vartulam / sarvadikṣu praśāsyeta śrīkāme caturaśrakam // 44 //",NA,NA,"3.44. The re-pit [is to be praised] in [the purpose of] daily and occasional rites, in the de- sired rites [comprising] appeasement and prosperity. The square [ritual diagram] is to be praised to all the directions in the desire for glory.",NA,NA
